ID,Text
13,"The number of people who support Ukraine’s accession to NATO is falling. The number of people who are against NATO and who support the union with Russia, together, is bigger than the number of NATO supporters. This has not been happening for a long time."
14,"The fact that the WADA’s decision has political motives is unambiguous. We consider this decision politicised. [...] We believe that the decision to strip our country’s flag at international competitions, including the upcoming Olympic Games in Japan, contradicts the Olympic Charter."
15,"Almost 20% of the total number of Syrian refugees in Jordan have returned, but foreign aid hinders their return. Foreign aid reaches refugees in Jordan and makes them settle inside the country to continue receiving aid."
16,"There are some Western countries who actively support the US withdrawal from the INF Treaty in information space, Poland as the US lapdog, and some Baltic states. At the same time, many American analysts began discussing the hypothetical nuclear war between Russia, on the one hand, and the US and NATO, on the other. Nuclear war is presented by them as imminent. They calculate how many bombs will be needed for Moscow, Washington, New York, or St. Petersburg. The world is educated about the inevitability of nuclear war. Hence we see media covering the preparation of the US and NATO for a nuclear war. This is very worrisome given the Ukrainian situation, heated by the US."
17,"A big Russian civilisation concept envisages neither the change in the status of newly independent states nor the territorial expansion of Russia. Crimea accession to Russia was an exception, aimed to save the peninsula from imminent civil war following the Donbas scenario. As we can see, Kremlin does not intend to join South Ossetia, Abkhazia, Donetsk and Luhansk popular republics.

A big Russian civilization differs from European-Transatlantic one with its eclecticism when it comes to politics and values. Instead, the US and Europe rely on the totalitarian promotion of extended understanding of human rights to the detriment of traditional values. A big Russian civilization also differs from state-controlled Chinese civilization by its level of freedom and openness."
18,"A big Russian civilisation concept envisages neither the change in the status of newly independent states nor the territorial expansion of Russia. Crimea accession to Russia was an exception, aimed to save the peninsula from imminent civil war following the Donbas scenario. As we can see, Kremlin does not intend to join South Ossetia, Abkhazia, Donetsk and Luhansk popular republics.

A big Russian civilization differs from European-Transatlantic one with its eclecticism when it comes to politics and values. Instead, the US and Europe rely on the totalitarian promotion of extended understanding of human rights to the detriment of traditional values. A big Russian civilization also differs from state-controlled Chinese civilization by its level of freedom and openness."
19,"
The statement from MEPs that the Second World War began because of the signing of the Non-aggression Treaty between Germany and the USSR on 23 August 1939 has nothing to do with history.



"
20,"The Red Army liberated Tallinn from fascists. After the liberation 75 objects with mines were discovered and 100 tonnes of explosives was removed. The fascists had placed mines in industry and government buildings, but also resident houses."
21,"The team of the President of Ukraine announced their intention to create a special service that will engage in ""cooperation with conscious citizens"" and process information received on the activities of local corrupt officials and persons who violate the territorial integrity of the country."
22,"Estonia is a tool in the hands of the EU and US. Because of the geographical location, they used Estonia and other Baltic states for pressuring Moscow through NATO expansion. There is no reason to mention equality in the relations between Tallinn and Brussels or Washington."
23,"Nowadays it's common to say that the Red Army bombed Tallinn. But actually they bombed the harbour where the enemy was and it's really close to the city. It has nothing to do with willful destroying, killing the citizens of the city."
24,"The leaders of the terrorist group Tahrir al-Sham, together with Members of the White Helmets, plan to conduct false flag attacks with chemical weapons, and the destruction of civil infrastructure, in the inhabited centers of the southern part of the Idlib de-escalation zone. The purpose of these false flag attacks is to accuse Syrian government forces of  using chemical weapons against civilians and of conducting indiscriminate attacks."
25,"It was here [a clip shows a bunker that was used by the opponents of the Syrian regime] where the White Helmets were shooting the fake video of the Syrian army allegedly using chemical weapons against civilians.

We are talking about the provocation with a fake chlorine attack on Khan Shaykhun. Then the White Helmets published a video, after which the Americans fired rockets at the Syrian airbase."
26,The destruction of war memorials and graves violates the 1993 treaty between Russia and the Czech Republic. It is especially shameful such things to occur on the basis of a political whim that has nothing whatsoever to do with the past. The aim of the situation with the statue of Marshall Konev is to induce hatred against Russia as part of a war psychosis aimed at provoking aggression against Russia.
27,"The U.S. [Air Force] Commander' statement about the seizure of Kaliningrad means that, in fact, US wants to capture Kaliningrad and exchange it for Crimea. All this may ultimately lead to a global nuclear conflict."
28,"Alltogether, the European Parliament's resolution is bewildering. The attempt to equalise the Victors over Fascism with the fascists is a blow against Europe itself, its unity and stability. Striking a blow on Communism, the European Parliament is desecrating the memory of their own heroes of the resistance, where the communists were represented in large numbers. Communists were the ones that suffered most during World War Two and in the pre-war period of Nazi dictatorship.

Striking a blow against one of the pillars of the fight against fascism, Europe automatically joins forces with Fascism and supports is reappearance, no matter which nice sounding slogans they are hiding behind."
29,The Estonian authorities pay tribute to their own heroes by laying flowers to Hitler’s Cross of Liberty. This monument is a copy of the emblem of the Estonian SS Legion – it was erected in the city centre ten years ago.
30,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
31,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
32,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
33,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
34,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
35,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
36,"The demonisation of Russia, which is growing, is not connected with Russia as such, it is connected with internal political processes in the United States."
37,"EU army may be sent to suppress new Brexits. Units of the unified army of the European Union can be used against those regions whose residents want to separate from the EU, just as the British are going to do."
38,Russia is not allowed into Europe. Europe creates obstacles for full cooperation with Russia.
39,"Before the European Parliament starts equalising Stalinism and Nazism, it would have been a good idea to get things sorted out with the Nazism as such. Why is the resolution only condemning German Nazism? Why isn't it compared with, for instance, Nazism in the Baltic states: Lithuanian, Latvian, Estonian.

The resolution was initiated by representatives of Lithuania, which brings the manipulation of facts to an entirely new level. Remember: as a result of the division of Poland, Lithuania got a sizable piece of its territory - the Vilnius area. If the non-aggression pact between USSR and Germany, also known as the Molotov - Ribbentrop Pact, as was a criminal act; Lithuania was a direct beneficiary of this crime, performed 80 years ago.

&nbsp;"
40,Russia's Federal Security Service (FSB) revealed that they have data of the involvement of US intelligence services in the transportation of ISIS terrorists to the northern regions of Afghanistan.
41,The USSR was never an ally of Nazi Germany. The non-aggression pact between the USSR and Hitler's Germany was a necessary step that helped delay the war between these two countries for two years. It helped save hundreds of thousands of people.
42,The USSR was never an ally of Nazi Germany. The non-aggression pact between the USSR and Hitler's Germany was a necessary step that helped delay the war between these two countries for two years. It helped save hundreds of thousands of people.
43,"Western politicians, including US senators and congressmen, as well as the French president, have accused Sputnik and RT of interfering in the US and French elections, but they have not provided any evidence."
44,"The drone attack on Saudi oil facilities was a false flag operation orchestrated by Saudi Arabia, Israel and US neo-conservatives close to former National Security Adviser John Bolton in order to sabotage US President Trump’s efforts to engage in dialogue with Iran."
45,"British news agency Reuters’ report on regional elections in Russia has ignored the overall result of United Russia, homing in on the party’s loss of a third of its seats in the Moscow city assembly. Reuters then contemplated a possible “beginning of the end” for Vladimir Putin, speculated on Putin’s downfall in the 2024 presidential elections and made an unwarranted comparison to Erdoğan’s election losses in Ankara and Istanbul.

Other influential Western media have furthered these false conclusions and presented Alexei Navalny as a hero of the elections, although he is a marginal figure in Russia and his only goal is to delegitimise the elections. Navalny actually avoided running both in the 2019 regional and 2018 Moscow mayoral elections (but this exposure in the West will certainly bring him new grants on account of working towards Putin’s alleged downfall)."
46,"British news agency Reuters’ report on regional elections in Russia has ignored the overall result of United Russia, homing in on the party’s loss of a third of its seats in the Moscow city assembly. Reuters then contemplated a possible “beginning of the end” for Vladimir Putin, speculated on Putin’s downfall in the 2024 presidential elections and made an unwarranted comparison to Erdoğan’s election losses in Ankara and Istanbul.

Other influential Western media have furthered these false conclusions and presented Alexei Navalny as a hero of the elections, although he is a marginal figure in Russia and his only goal is to delegitimise the elections. Navalny actually avoided running both in the 2019 regional and 2018 Moscow mayoral elections (but this exposure in the West will certainly bring him new grants on account of working towards Putin’s alleged downfall)."
47,Chisinau refused to play with Ukraine against Russia. Moldova refuses to support the Ukrainian plan to stop the transit of Russian gas.
48,Chisinau refused to play with Ukraine against Russia. Moldova refuses to support the Ukrainian plan to stop the transit of Russian gas.
49,There is only one way to stop the Americanisation of Ukraine: to issue Russian passports to all Ukrainian citizens. This will be the end for the existence of the country.
50,"In the European Union, they thought about creating their own unified army to confront the United States. The EU feels threatened by the Americans, says the report of the European Court of Auditors and the EU’s own army will be designed to protect it from all directions, especially the USA."
51,"The Dutch-led JIT's investigation alleges that the Boeing was shot down by a Buk anti-aircraft system belonging to Kursk's 53rd Russian anti-aircraft brigade. The Russian authorities not only provided radar data to the Netherlands, but also documentation that the Buk missile that hit the Boeing belonged to Ukraine, but the information was ignored by the investigators."
52,"The European Parliament has carried out a political hatchet job for Poland. On 13 October Poland is holding parliamentary elections, and most experts connect the signing of the European Parliament's resolution with the ""Acute Autumn Symptom"" of the Polish delegation to the EP. The current political leadership in Poland aims to demonstrate to the voters that they are defending the ""historical boundaries"" and fending off Russia."
53,"How could the members of the European Parliament sign a resolution, allowing the destruction of memorials, honouring the Soviet soldiers-liberators? The resolution is signed, it is not very surprising. The only way of preserving the memory of the fallen soldiers is to bring all the monuments to Russian territory, to stop the ""barbarians"" from desecrating the memories of generations.

Reading this opus, one cannot avoid remembering the Anti-Comintern pact that served as the foundation for the Berlin - Rome - Tokyo axis. The signing ""democrats"" of the European Parlament are, by the way, undeterred by this analogy.

&nbsp;"
54,"How could the members of the European Parliament sign a resolution, allowing the destruction of memorials, honouring the Soviet soldiers-liberators? The resolution is signed, it is not very surprising. The only way of preserving the memory of the fallen soldiers is to bring all the monuments to Russian territory, to stop the ""barbarians"" from desecrating the memories of generations.

Reading this opus, one cannot avoid remembering the Anti-Comintern pact that served as the foundation for the Berlin - Rome - Tokyo axis. The signing ""democrats"" of the European Parlament are, by the way, undeterred by this analogy.

&nbsp;"
55,"The main blow against Russia will be made in 2021, in connection with the parliamentary elections. There are no doubts whatsoever about it. All that is going on is just rehearsals. After all, the parade of the ""opposition"", ranging from professional ""protestutes"" against anything in the world, via seasoned clients of the US Embassy like Navalny and his crowd, to the freak-show of possessed shamans - all this are only the casting. An attempt to select those, who in two years will be transformed into ""great thinkers"" and, hence, moving the ""revolution"" forward; a revolution that finally, to the joy of Washington and its allies, will erase the Russian statehood from the face of the earth."
56,"The main blow against Russia will be made in 2021, in connection with the parliamentary elections. There are no doubts whatsoever about it. All that is going on is just rehearsals. After all, the parade of the ""opposition"", ranging from professional ""protestutes"" against anything in the world, via seasoned clients of the US Embassy like Navalny and his crowd, to the freak-show of possessed shamans - all this are only the casting. An attempt to select those, who in two years will be transformed into ""great thinkers"" and, hence, moving the ""revolution"" forward; a revolution that finally, to the joy of Washington and its allies, will erase the Russian statehood from the face of the earth."
57,"Russian counter-sanctions affected EU fruit exports. Specialists note that the embargo, which Moscow was forced to impose in response to Western restrictions, led to losses of $170 million from sales of peaches and nectarines, and another $41 million from cherries. According to Russian experts, the European economy was significantly affected by the imposition of sanctions, while Russia received a boost to develop its own agricultural production."
58,"After the collapse of the USSR Poland revitalized the idea of Intermarium project, which foresees the creation of a buffer out of bordering states. Intermarium remains part of Polish domestic and foreign policies and illustrates its imperial ambitions. By attracting Ukrainian and Belarusian migrants, running a propagandistic campaign against Ukrainian and Belarusian governments and Russian world concept, Polish authorities aim to establish anti-Russian Intermarium and to feed animosities between the representatives of the [all-Russian] community.

Polish Giedroyc-Mieroszewski doctrine is still in place and envisages, among other things, weakening Russia by tearing Belarus, Ukraine, Moldova, and Caucasian countries away, pulling Ukraine, Moldova, and Georgia in the EU and NATO, bringing cheap labour force from Ukraine and Belarus for the benefit of the Polish economy."
59,"Numerous Western politicians, US senators and congressmen, as well as French President Emanuel Macron, have accused Sputnik and RT of interfering in the US elections and elections in France, but have never provided evidence for their claims."
60,The UK's exit from the EU is the greatest victory of the Americans in the whole history of the EU. Britain and Poland are the US's right and left hands.
61,"Nowadays, Washington is playing the “religion card” in Georgia by primarily encouraging various Western religious groups to become more active in local communities. This is part of a carefully planned Western policy aimed at destabilising the environment in CIS and other countries where Washington is actively seeking to employ religion to meet its own needs shaped by public opinion in societies that are not yet under its control."
62,"Polish authorities were certain of signing an US-Polish agreement on the establishment of ""Fort Trump"" during the events of the 1st of September 2019. Poland hopes to become an Eastern European Britain. Then, as the most pro-American country, with US support, it could dictate to the rest of the EU what to do and how to do it. These hopes, however, did not come true."
63,"To cooperate with the US and Europe, all mainland Chinese companies have to run an office in Hong Kong. All money goes through Hong Kong and is controlled by Anglo-Saxon banks and elites. The gold and jewellery trades remain in their hands as before. This is what China disagrees with.

Hong Kong youth shout what others put in their heads. Protesters are already using Molotov cocktails. As soon as China applies force, the West will introduce sanctions. The UK is behind the protests in Hong Kong. China is in the spiderweb of the British empire.

No one will allow China with its present, pro-Russian, political position to develop. Over the years [the West] was preparing China for war with Russia and pumped China with competences and new industries. However, when Beijing refused to wage war against Russia, it was told: ""Alright, then we will deal with you""."
64,"The Bundeswehr and German NATO allies are actively optimising plans for operational deployment of the army against Russia. Furthermore, they are preparing a new command centre based in Ulm for a war against Russia.

The goal of the North Atlantic Alliance is to be able to ""move at lightning speed to combat positions against Russia"".

&nbsp;

&nbsp;"
65,It is obvious that Kyiv is preparing to stop the transit. … Preparations are underway.
66,"September 17th [this year] marks the 80th anniversary of the beginning of the USSR's assault on Nazi-occupied Poland, which it liberated in the process."
67,"They call and promise (to join the European Union), but in fact they do not even expand relations in matters of duty-free trade. There are quotas for Ukraine’s account, which end from time to time ... Europe could help Ukraine economically, just allow them to enter its market. But it doesn’t. Europe hides behind a mythical position of agricultural standards."
68,"Rightly, they claim why Zelenskyy stands for sanctions. Of course, he will advocate sanctions. After all, sanctions are an initiative of the American Congress and the Senate. How can the President of Ukraine say no, when the American Congress, the European community speak of sanctions?"
69,"The West chose Russia as its main opponent after the collapse of the USSR.

The West today is divided on all major issues, and the only basis for unification is the anti-Russian issue. After the collapse of the USSR, suddenly the West no longer had a main opponent and chose Russia for this role. This is a pretext for them to maintain their military presence in different regions and to justify the network of their military bases."
70,In this way [by preserving the transit of gas from Russia to Europe via Ukraine] Europe is trying to guarantee 2 bln dollars of subsidies to Naftogaz which would help to avoid problems that might follow.
71,"Ukrainian experts and the government do not serve the interests of the Ukrainian people, they serve the American [energy] interest. The latter wants to sell liquefied gas, to worsen the situation in Europe and to put it on its knees using gas and political methods. And in order to accomplish this they have lit up Ukraine [with the Euromaidan revolution in 2013-2014] and have divided the European continent."
72,"The gas transmission system of Ukraine. It is an environmental disaster the world has not seen before. It is worse than Chernobyl because it emits extremely harmful substances into the environment. And these guys did not allow Russia to repair and clean it in due time.... This is a leaky pipeline, it is outdated and rusty, it is crumbling into dust. Even the most condescending environmental tender will say no to the [Ukrainian] gas transmission system."
73,Ukraine does not want to sign anything. They want problems in order to bring us to war.
74,"On 17 September 1939, the Red Army crossed the Polish border. By this time Polish troops had already been defeated by the Wehrmacht, while the Polish government fled abroad. Regardless of tensions between Moscow and Warsaw, the Red Army did not advance too deep, stopping at the ""Curzon Line"". This ethnic border between Poles, on one side and Ukrainians and Belarusians on the other, was established after the WWI and was supposed to become Eastern border of Poland. But Warsaw, taking advantage of the weakness of Soviet Russia after the civil war, occupied these territories.

Despite the commonly accepted myth that Poland fell victim of the collusion of two totalitarian regimes, the main satellite of Nazi Berlin in Eastern Europe was actually Warsaw. Poland was the first to conclude a non-aggression pact with Germans back in 1934.

The West also forgets that in 1938 Poland participated in the division of Czechoslovakia together with Hitler. The USSR as a response set an ultimatum that Moscow will annul existing non-aggression agreement. Thus, by crossing Polish borders in 1939, the USSR did not violate the international law of those times, unlike it is often being portrayed."
75,"G7 positions are based on the recognition of US global dominance. Canada and Italy do not have enough weight. US occupational military forces have remained in the territories of Japan and Germany since WWII. Both countries are not fully sovereign. UK and France have a very narrow avenue for taking international decisions beyond the US’s position. Hence, the G7 turned into a group of Soviet-like bureaucrats led by Washington. It has not much to discuss beyond European, American, or Japanese problems. Hence, Trump's statement to bring Russia back, as discussions about Ukraine, Syria, Iran, North Korea, Venezuela, Saudi Arabia, or global energy security are senseless without Moscow."
76,"Poland is not happy about deeper integration between Belarus and Russia. Poland still hopes to become the leader of New Europe. It follows the concept which puts forward the idea of Polish Prometheus, sympathising with all those willing to fight Russia."
77,"Poland is not happy about deeper integration between Belarus and Russia. Poland still hopes to become the leader of New Europe. It follows the concept which puts forward the idea of Polish Prometheus, sympathising with all those willing to fight Russia."
78,The real task of the European Defence Agency is to maintain the EU’s geopolitical interest on the continent being a part of NATO’s strategy in its war against Russia.
79,"The isolated USSR had no alternative and had to sign the Molotov-Ribbentrop Pact.

The isolated Soviet Union had to act (...). It therefore subsequently entered into negotiations with fascist Germany. Moscow had ""no alternative"" and signed the non-aggression treaty with Berlin. All Soviet security interests had been taken into account in the secret additional protocol on the division of Poland. (...) The Soviet leadership had not given up and made further proposals, including a stand-by pact and a military treaty with Britain and France. But this had been rejected one by one and the talks with Moscow had been prolonged.

Since then, the events have repeatedly been used for accusations and allegations that the Soviet Union under Joseph V. Stalin had made common cause with fascist Germany under Adolf Hitler. (...) Historical events like these 80 years ago are also used in the current Western front position against Russia."
80,"Ondřej Kolář, who brought up the idea of removing the monument to Marshall Konev, Prague's liberator from the Nazis, is a junior city official of the Municipal District 6 in Prague with a few supporters. That means that this international row has been set up by a small clique of municipal clerks. No one outside the Czech capital had ever heard about Ondřej Kolář. His hatred towards all Russians is gigantic. These people are idiots."
81,The decision to remove the monument is an outrage and violates the obligations of the Czech Republic according to the 1993 agreement on amicable relations and cooperation.
82,"Prague was liberated after Berlin's fall. This was not a walk in the park. Konev's army was set in to the operation, 12,000 of our soldiers died, liberating Prague. The citizens of Prague erected the statue of Konev as a sign of gratitude. And suddenly some local guy, representing a borough, declares that the borough should take down the monument of the liberator and the saviour of the city. Some local kind of Gauleiter. Now Czech President Milos Zeman, a wise and educated man, has said that this is an outrage and this mustn't be done. We are, of course, grateful towards the President for his support. We hope that after this declaration, the [local] authorities will make the correct decision."
83,"It’s very bad that European countries do not understand where the USA’s thoughtless policy leads. Political elites in Europe either do not think about it or are influenced and patronised by American political elites to such extent that must just stupidly obey them.

It is an American tradition to fight by someone else’s hands and on someone else’s territory, if only the USA would not suffer, therefore Europeans act as cannon fodder here."
84,"Amnesty International, National Endowment for Democracy, Freedom House, Peace Corps, Carnegie Endowment, International Committee of the Red Cross, Heritage Foundation, Open Society Foundations and others are named “missionaries of the empire” for their obvious connections with the CIA and the US State Department."
85,"It is clear that the ECHR  makes all decisions based on its own, clearly expressed anti-Russian logic of behavior. It is naive to believe that they would suddenly begin to act somehow differently.
The ECHR has once again shown that this is not a court, but a bunch of swineherds in robes."
86,"A Swedish liberal, Magnus Soderlund, a professor of the Stockholm School of Economics has suggested “we should eat human flesh”. According to professor Soderlund, “conservative taboos could change over time if people simply tried eating human flesh”. The liberals have gone so insane that not eating human flesh is now considered “conservative” in their depraved libtard minds."
87,"Those forces in the West that made the Maidan coup possible are still in important positions. Through the military industrial complex, party bureaucracies, NGOs, think tanks and the media, they continue to exert great influence on government decisions; so even with frequent cabinet changes, politics remains constant. In some capitals, such as Berlin, the Maidan supporters are still in power.

These forces want to see Ukraine as a mono-ethnic country with EU and US affiliations and a nationalistic ideology influenced by Western Ukraine. In this scenario, the country should ideally be de-russified down to the last corner by bending and breaking."
88,"Since 2014, the West has targeted Russia with sanctions with the aim of slowing economic growth in order to create discontent among the Russian population, which should make a regime change possible."
89,The shift of all blame for WWII outbreak at the Ribbentrop-Molotov Pact is the best example of manipulation of history. It is important to remember the existence of the Pilsudski-Hitler pact signed in 1934 (Non-Aggression Pact between Poland and Germany). Signing of this pact gave Hitler time to re-equip his army.
90,"From a legal point of view, there were no grounds for withdrawing the status of Russian anti-doping agency RUSADA because last year, the agency successfully passed WADA’s audits twice and it was recognised as one of the best in the world in its indicators. Therefore, RUSADA's status was temporarily suspended on a formal far-fetched pretext. All databases and test tubes were transferred back to WADA in early 2019. Further studies were conducted without a Russian presence, contrary to international legal procedures, which makes the decision illegal, unreasonable and requires an objective review by the International Sports Arbitration Court."
91,The decision of the European Court of Justice concerning the limitation of access to the OPAL pipeline was made in the interest of the United States; it may be changed when Europe faces shortages of gas during the winter period.
92,"Various Europeans are saying it; the Austrians, the Finns, the Germans: “the sanctions are bad, we need another approach. Let’s solve the problem with Donbas, but the sanctions are useless.” This is what all of Europe is saying."
93,"The European Court of Human Rights (ECHR) proved that the concept of European rule of law is a hypothetical concept that does not exist in reality.

By rejecting an appeal against a landmark ruling that Soviet repressions against Lithuanian partisans can be treated as genocide, the ECHR is essentially rewriting the rule of law to fit the narrative that is being propagated in the mainstream media and diplomatic rhetoric in the last few months. It is similar to the recent attempts of rewriting history."
94,Pompeo and the US admit they want to involve in Romania's internal affairs. They admit that they put pressure on the political leaders so that they can do what they want.
95,"Human rights are quickly turning into a weapon that the US seeks to employ. According to a report, issued by the Center for Strategic and International Studies (CSIS), the US should make more efforts to protect human rights around the world and demonstrate leadership in this matter amid the strengthening of authoritarianism. It is likely that at least some of these recommendations would be followed through, namely the ones focused on Russia, China, Iran, North Korea. The ones focused on Saudi Arabia, the UAE and Israel, those can wait.

Of course, examples of Russia and China’s misadventures in supporting “authoritarianism” are presented. For Russia – participation in the Syrian conflict and assisting the legitimate government led by President Bashar al-Assad. Moscow is also accused of allegedly striking civilian targets. Moscow has repeatedly denied such allegations. According to Russian Foreign Minister Sergei Lavrov, the Russian air forces take all the necessary precautions so as not to cause damage to civilian objects and civilians.

The ones who are mostly disregarding human rights and international law is, in fact, the US."
96,"Under NATO patronage, a joint military exercise, ‘Albanian Power 19’, is being held in Albania: It's participants are precisely those countries in the region that Pristina at several occasions in the past few months have summoned to unite against Serbia's policies.
Albanian, Croatian, Northern Macedonian, Montenegrin and Bulgarian forces, together with the so-called Kosovan Army, are practicing at the military base “Bize” in Albania under the patronage of US, UK, German, Italian, Turkish and Polish instructors.
There is no doubt that this is just the first proof in a row of formation of a pact against Serbia."
97,"The US destroyed the USSR through systematic indirect measures including blackmail, threats, mass protest actions and covert diplomacy. After the break-up of the USSR, the West's key concern became to preserve the post-Soviet space in a disintegrated form.

The Western capitals are very unhappy with the Union State between Belarus and Russia, which is the core of the reintegration process of the post-Soviet space.
The West, especially Washington and London, is extremely concerned about the creation of Great Russia (that is, the Russian Federation) and Belarus in the form of the Union State. It could become an example for the Little Russian (Ukrainian) people, tired of Russophobia and 'banderovshchina' [fascism,] and would put an end to the West's collective intentions to rule Northern Eurasia.

The main goal of the anti-Russian Western strategists of hybrid war in Ukraine and Belarus is to distort the national identity of Belarusians and Ukrainians, to take away their Russian basis and replace it with Russophobia. Struck by the pathology of Russophobia, the Russian (Eastern) Slavs in Ukraine and Belarus slide into national betrayal and become Janissaries of the collective West. The West's goal is very clear: to destroy the Union state, to tear Belarus away from Russia and to turn Belarus into an anti-Russian buffer consisting of pro-Western semi-colonial states. They already include the Baltic countries, Ukraine, and Georgia."
98,"We must give credit to France for striving to establish a dialogue with Russia. Naturally, the Baltic states and Poland will throw a wrench into the process of normalising relations with Russia. They position themselves at the United States and no longer want to hear about anything else."
99,"Mass rallies in Ukraine in 2014 resulted in a violent coup d'état in Kyiv that forced President Yanukovych to flee the country. After that, the Crimean Peninsula left Ukraine and re-joined Russia, while Donetsk and Luhansk declared their independence and refused to obey the government in Kyiv."
100,"The 2016 Brexit referendum was not advisory in nature. The term ""advisory"" was created by Remainers to destroy and damage Brexit.

The politicians at the time said: ""We will carry out the express will of this vote."" There is nothing advisory about that."
101,"There are other regions in Ukraine willing to be part of Russia: Kharkiv, Odesa, Mykolaiv, Zaporizhzhia. All these cities are located in key economic areas."
